Movie Name,Emotion,Release Date,Genre,IMDb Rating,OTT Platform,Watch Link
Schindler's List (33),sad,1993-12-15,Historical,5.9,HBO Max,https://www.hbomax.com/feature/11236196
The Shawshank Redemption (84),sad,1994-09-23,Drama,8.6,HBO Max,https://www.hbomax.com/feature/-3894162
Inception (72),neutral,2010-07-16,Sci-Fi,7.1,Amazon Prime Video,https://www.amazon.com/dp/-5204989
The Shawshank Redemption (43),sad,1994-09-23,Drama,5.6,Peacock,https://www.peacocktv.com/watch/70219969
Gladiator (37),angry,2000-05-05,Action,6.3,Peacock,https://www.peacocktv.com/watch/-4388754
Avengers: Endgame (96),angry,2019-04-26,Action,8.2,Apple TV+,https://tv.apple.com/movie/84542563
Avengers: Endgame (41),angry,2019-04-26,Action,6.0,Apple TV+,https://tv.apple.com/movie/76890914
Avengers: Endgame (10),angry,2019-04-26,Action,5.6,Disney+,https://www.disneyplus.com/movies/73304530
Titanic (97),happy,1997-12-19,Romance,6.1,Hulu,https://www.hulu.com/movie/-6716101
The Silence of the Lambs (60),fear,1991-02-14,Thriller,7.7,Hulu,https://www.hulu.com/movie/44815228
Coco (31),surprise,2017-11-22,Animation,9.0,Apple TV+,https://tv.apple.com/movie/-2005852
The Godfather (18),disgust,1972-03-24,Crime,6.3,HBO Max,https://www.hbomax.com/feature/29732230
Joker (44),fear,2019-10-04,Psychological,5.8,Amazon Prime Video,https://www.amazon.com/dp/-2894947
The Godfather (25),disgust,1972-03-24,Crime,9.1,Disney+,https://www.disneyplus.com/movies/-9055326
The Dark Knight (30),angry,2008-07-18,Action,7.3,Apple TV+,https://tv.apple.com/movie/-8476717
Coco (17),surprise,2017-11-22,Animation,5.4,Hulu,https://www.hulu.com/movie/-7092272
The Shawshank Redemption (56),sad,1994-09-23,Drama,7.3,Hulu,https://www.hulu.com/movie/-7640747
Schindler's List (95),sad,1993-12-15,Historical,6.1,Disney+,https://www.disneyplus.com/movies/-8508440
The Grand Budapest Hotel (54),happy,2014-03-28,Comedy,7.6,Apple TV+,https://tv.apple.com/movie/-5909024
Interstellar (96),neutral,2014-11-07,Sci-Fi,7.6,Apple TV+,https://tv.apple.com/movie/33546057
Coco (19),surprise,2017-11-22,Animation,9.3,Peacock,https://www.peacocktv.com/watch/-6003356
The Godfather (71),disgust,1972-03-24,Crime,5.2,Peacock,https://www.peacocktv.com/watch/-3785393
Pulp Fiction (42),disgust,1994-10-14,Crime,8.8,Amazon Prime Video,https://www.amazon.com/dp/28469380
Inside Out (86),surprise,2015-06-19,Animation,8.8,HBO Max,https://www.hbomax.com/feature/71166216
The Dark Knight (15),angry,2008-07-18,Action,7.5,HBO Max,https://www.hbomax.com/feature/87908278
Parasite (79),fear,2019-05-30,Thriller,6.7,HBO Max,https://www.hbomax.com/feature/30551861
The Matrix (21),neutral,1999-03-31,Sci-Fi,7.2,Apple TV+,https://tv.apple.com/movie/-6753897
The Shawshank Redemption (98),sad,1994-09-23,Drama,5.5,Hulu,https://www.hulu.com/movie/-8117090
Forrest Gump (39),sad,1994-07-06,Drama,6.6,Disney+,https://www.disneyplus.com/movies/-7644104
The Matrix (49),neutral,1999-03-31,Sci-Fi,8.2,Netflix,https://www.netflix.com/title/-5426861
Interstellar (70),neutral,2014-11-07,Sci-Fi,9.2,Hulu,https://www.hulu.com/movie/18034538
Inside Out (54),surprise,2015-06-19,Animation,8.1,Peacock,https://www.peacocktv.com/watch/88840288
Inception (12),neutral,2010-07-16,Sci-Fi,5.4,Amazon Prime Video,https://www.amazon.com/dp/59371772
Parasite (62),fear,2019-05-30,Thriller,6.9,HBO Max,https://www.hbomax.com/feature/71203098
Joker (72),fear,2019-10-04,Psychological,8.5,Apple TV+,https://tv.apple.com/movie/30927740
The Grand Budapest Hotel (5),happy,2014-03-28,Comedy,6.5,YouTube Movies,https://www.youtube.com/results?search_query=-7440949
The Grand Budapest Hotel (61),happy,2014-03-28,Comedy,6.7,YouTube Movies,https://www.youtube.com/results?search_query=-5792992
Gladiator (59),angry,2000-05-05,Action,8.4,Disney+,https://www.disneyplus.com/movies/-6007707
The Silence of the Lambs (37),fear,1991-02-14,Thriller,5.5,YouTube Movies,https://www.youtube.com/results?search_query=-2587090
Interstellar (6),neutral,2014-11-07,Sci-Fi,8.9,Apple TV+,https://tv.apple.com/movie/-8939143
The Silence of the Lambs (62),fear,1991-02-14,Thriller,6.8,Apple TV+,https://tv.apple.com/movie/32820150
The Grand Budapest Hotel (81),happy,2014-03-28,Comedy,5.3,YouTube Movies,https://www.youtube.com/results?search_query=-2002213
The Silence of the Lambs (89),fear,1991-02-14,Thriller,9.1,Peacock,https://www.peacocktv.com/watch/36979933
The Shawshank Redemption (51),sad,1994-09-23,Drama,5.5,Hulu,https://www.hulu.com/movie/55732973
Pulp Fiction (75),disgust,1994-10-14,Crime,6.6,Peacock,https://www.peacocktv.com/watch/29005500
Interstellar (26),neutral,2014-11-07,Sci-Fi,8.1,Netflix,https://www.netflix.com/title/19743055
Forrest Gump (43),sad,1994-07-06,Drama,5.6,Peacock,https://www.peacocktv.com/watch/32608977
Titanic (13),happy,1997-12-19,Romance,8.1,YouTube Movies,https://www.youtube.com/results?search_query=-7315873
The Dark Knight (26),angry,2008-07-18,Action,8.8,Disney+,https://www.disneyplus.com/movies/10689022
Parasite (21),fear,2019-05-30,Thriller,5.5,Disney+,https://www.disneyplus.com/movies/91485526
Inside Out (79),surprise,2015-06-19,Animation,7.4,Hulu,https://www.hulu.com/movie/-8421832
Interstellar (73),neutral,2014-11-07,Sci-Fi,6.3,Netflix,https://www.netflix.com/title/50864130
Inside Out (18),surprise,2015-06-19,Animation,8.6,Peacock,https://www.peacocktv.com/watch/19421228
The Grand Budapest Hotel (91),happy,2014-03-28,Comedy,7.5,Hulu,https://www.hulu.com/movie/-1069719
Parasite (79),fear,2019-05-30,Thriller,8.0,YouTube Movies,https://www.youtube.com/results?search_query=30551861
The Lion King (41),surprise,1994-06-24,Animation,8.9,Apple TV+,https://tv.apple.com/movie/49267107
Saving Private Ryan (1),disgust,1998-07-24,War,6.2,Apple TV+,https://tv.apple.com/movie/90213996
Joker (72),fear,2019-10-04,Psychological,5.7,Hulu,https://www.hulu.com/movie/30927740
Parasite (35),fear,2019-05-30,Thriller,7.2,YouTube Movies,https://www.youtube.com/results?search_query=-7667204
The Lion King (1),surprise,1994-06-24,Animation,7.8,HBO Max,https://www.hbomax.com/feature/-7936213
Interstellar (91),neutral,2014-11-07,Sci-Fi,6.7,Hulu,https://www.hulu.com/movie/-5976468
Saving Private Ryan (48),disgust,1998-07-24,War,7.9,Apple TV+,https://tv.apple.com/movie/68274773
Avengers: Endgame (6),angry,2019-04-26,Action,6.1,Netflix,https://www.netflix.com/title/-4681339
Avengers: Endgame (60),angry,2019-04-26,Action,6.7,HBO Max,https://www.hbomax.com/feature/42536764
The Lion King (26),surprise,1994-06-24,Animation,8.2,Amazon Prime Video,https://www.amazon.com/dp/30567473
Parasite (17),fear,2019-05-30,Thriller,8.0,Netflix,https://www.netflix.com/title/-3102088
The Godfather (83),disgust,1972-03-24,Crime,5.8,Apple TV+,https://tv.apple.com/movie/-4760666
The Silence of the Lambs (19),fear,1991-02-14,Thriller,8.4,Apple TV+,https://tv.apple.com/movie/36709805
The Matrix (81),neutral,1999-03-31,Sci-Fi,5.3,YouTube Movies,https://www.youtube.com/results?search_query=56968797
The Matrix (14),neutral,1999-03-31,Sci-Fi,5.6,HBO Max,https://www.hbomax.com/feature/85253296
Coco (17),surprise,2017-11-22,Animation,6.7,Disney+,https://www.disneyplus.com/movies/-7092272
Forrest Gump (24),sad,1994-07-06,Drama,7.9,Apple TV+,https://tv.apple.com/movie/27035415
The Dark Knight (11),angry,2008-07-18,Action,8.9,HBO Max,https://www.hbomax.com/feature/72547707
Forrest Gump (48),sad,1994-07-06,Drama,5.9,Amazon Prime Video,https://www.amazon.com/dp/77152199
Gladiator (43),angry,2000-05-05,Action,6.6,HBO Max,https://www.hbomax.com/feature/-4957010
Inside Out (55),surprise,2015-06-19,Animation,7.7,Netflix,https://www.netflix.com/title/66404540
The Shawshank Redemption (3),sad,1994-09-23,Drama,5.3,Amazon Prime Video,https://www.amazon.com/dp/47296832
Pulp Fiction (16),disgust,1994-10-14,Crime,6.7,HBO Max,https://www.hbomax.com/feature/-6623210
Saving Private Ryan (23),disgust,1998-07-24,War,9.4,YouTube Movies,https://www.youtube.com/results?search_query=60086191
The Dark Knight (68),angry,2008-07-18,Action,5.1,Amazon Prime Video,https://www.amazon.com/dp/-7145889
Avengers: Endgame (97),angry,2019-04-26,Action,9.4,Amazon Prime Video,https://www.amazon.com/dp/22522500
Inside Out (33),surprise,2015-06-19,Animation,7.1,Netflix,https://www.netflix.com/title/40669340
Avengers: Endgame (15),angry,2019-04-26,Action,5.7,HBO Max,https://www.hbomax.com/feature/81101181
The Silence of the Lambs (98),fear,1991-02-14,Thriller,7.8,Apple TV+,https://tv.apple.com/movie/-3300463
Forrest Gump (57),sad,1994-07-06,Drama,7.6,Disney+,https://www.disneyplus.com/movies/90841383
The Grand Budapest Hotel (93),happy,2014-03-28,Comedy,7.4,Amazon Prime Video,https://www.amazon.com/dp/35482586
Joker (67),fear,2019-10-04,Psychological,7.9,Peacock,https://www.peacocktv.com/watch/36506075
Pulp Fiction (97),disgust,1994-10-14,Crime,8.7,Disney+,https://www.disneyplus.com/movies/-6498023
Inception (59),neutral,2010-07-16,Sci-Fi,8.0,Peacock,https://www.peacocktv.com/watch/28057366
Forrest Gump (24),sad,1994-07-06,Drama,7.3,HBO Max,https://www.hbomax.com/feature/27035415
Schindler's List (29),sad,1993-12-15,Historical,5.7,Hulu,https://www.hulu.com/movie/13961898
The Godfather (35),disgust,1972-03-24,Crime,5.1,Peacock,https://www.peacocktv.com/watch/-9115810
Gladiator (2),angry,2000-05-05,Action,5.5,Apple TV+,https://tv.apple.com/movie/52372675
Schindler's List (68),sad,1993-12-15,Historical,8.9,Disney+,https://www.disneyplus.com/movies/57779846
The Grand Budapest Hotel (34),happy,2014-03-28,Comedy,7.9,YouTube Movies,https://www.youtube.com/results?search_query=58183635
Inside Out (27),surprise,2015-06-19,Animation,7.4,HBO Max,https://www.hbomax.com/feature/-8053097
Pulp Fiction (85),disgust,1994-10-14,Crime,6.9,HBO Max,https://www.hbomax.com/feature/51534715
The Lion King (49),surprise,1994-06-24,Animation,7.3,YouTube Movies,https://www.youtube.com/results?search_query=29611986
The Grand Budapest Hotel (60),happy,2014-03-28,Comedy,6.5,Disney+,https://www.disneyplus.com/movies/-3865406
The Lion King (88),surprise,1994-06-24,Animation,9.4,Hulu,https://www.hulu.com/movie/66206406
Forrest Gump (15),sad,1994-07-06,Drama,7.8,Disney+,https://www.disneyplus.com/movies/-1289221
Saving Private Ryan (78),disgust,1998-07-24,War,7.4,HBO Max,https://www.hbomax.com/feature/15737119
Gladiator (23),angry,2000-05-05,Action,8.7,Disney+,https://www.disneyplus.com/movies/-1371962
Coco (12),surprise,2017-11-22,Animation,7.8,Disney+,https://www.disneyplus.com/movies/54207924
Saving Private Ryan (48),disgust,1998-07-24,War,8.6,YouTube Movies,https://www.youtube.com/results?search_query=68274773
Pulp Fiction (12),disgust,1994-10-14,Crime,7.6,Netflix,https://www.netflix.com/title/79224629
Joker (50),fear,2019-10-04,Psychological,6.9,Netflix,https://www.netflix.com/title/-8995589
The Lion King (56),surprise,1994-06-24,Animation,5.5,Peacock,https://www.peacocktv.com/watch/-3308817
The Silence of the Lambs (11),fear,1991-02-14,Thriller,6.4,YouTube Movies,https://www.youtube.com/results?search_query=-9454977
The Lion King (10),surprise,1994-06-24,Animation,7.5,HBO Max,https://www.hbomax.com/feature/35169462
Saving Private Ryan (75),disgust,1998-07-24,War,5.4,Peacock,https://www.peacocktv.com/watch/83941819
Saving Private Ryan (28),disgust,1998-07-24,War,8.2,HBO Max,https://www.hbomax.com/feature/-1667087
Inside Out (68),surprise,2015-06-19,Animation,6.4,Disney+,https://www.disneyplus.com/movies/25370411
The Grand Budapest Hotel (90),happy,2014-03-28,Comedy,8.8,Apple TV+,https://tv.apple.com/movie/-3988197
The Grand Budapest Hotel (75),happy,2014-03-28,Comedy,8.9,HBO Max,https://www.hbomax.com/feature/53082218
Schindler's List (22),sad,1993-12-15,Historical,5.9,Apple TV+,https://tv.apple.com/movie/-4884182
Titanic (44),happy,1997-12-19,Romance,6.9,Netflix,https://www.netflix.com/title/-2773908
The Grand Budapest Hotel (24),happy,2014-03-28,Comedy,6.6,Disney+,https://www.disneyplus.com/movies/25885026
Inception (91),neutral,2010-07-16,Sci-Fi,5.9,YouTube Movies,https://www.youtube.com/results?search_query=-1671343
Interstellar (6),neutral,2014-11-07,Sci-Fi,5.1,Hulu,https://www.hulu.com/movie/-8939143
Joker (86),fear,2019-10-04,Psychological,8.6,Netflix,https://www.netflix.com/title/10754207
The Grand Budapest Hotel (37),happy,2014-03-28,Comedy,9.1,Peacock,https://www.peacocktv.com/watch/-1338218
The Dark Knight (75),angry,2008-07-18,Action,5.1,Hulu,https://www.hulu.com/movie/-6718801
The Shawshank Redemption (38),sad,1994-09-23,Drama,8.7,Disney+,https://www.disneyplus.com/movies/64008375
Joker (89),fear,2019-10-04,Psychological,8.6,Apple TV+,https://tv.apple.com/movie/-4144159
The Dark Knight (9),angry,2008-07-18,Action,5.8,Peacock,https://www.peacocktv.com/watch/52096688
The Dark Knight (94),angry,2008-07-18,Action,5.8,Netflix,https://www.netflix.com/title/41781911
Inside Out (19),surprise,2015-06-19,Animation,6.8,Disney+,https://www.disneyplus.com/movies/-6969161
The Shawshank Redemption (42),sad,1994-09-23,Drama,7.2,Netflix,https://www.netflix.com/title/-6499157
The Grand Budapest Hotel (76),happy,2014-03-28,Comedy,8.1,Hulu,https://www.hulu.com/movie/-5279663
Pulp Fiction (6),disgust,1994-10-14,Crime,6.2,Netflix,https://www.netflix.com/title/72480584
Avengers: Endgame (37),angry,2019-04-26,Action,6.2,Hulu,https://www.hulu.com/movie/69767533
Parasite (32),fear,2019-05-30,Thriller,8.8,Netflix,https://www.netflix.com/title/85104430
Schindler's List (91),sad,1993-12-15,Historical,5.9,HBO Max,https://www.hbomax.com/feature/-4944575
Inception (24),neutral,2010-07-16,Sci-Fi,6.0,Amazon Prime Video,https://www.amazon.com/dp/-5088284
Inside Out (84),surprise,2015-06-19,Animation,8.5,Amazon Prime Video,https://www.amazon.com/dp/62486177
Avengers: Endgame (63),angry,2019-04-26,Action,8.7,Hulu,https://www.hulu.com/movie/81462243
Titanic (24),happy,1997-12-19,Romance,6.0,Peacock,https://www.peacocktv.com/watch/-5555922
The Grand Budapest Hotel (28),happy,2014-03-28,Comedy,5.2,Amazon Prime Video,https://www.amazon.com/dp/-7039132
The Dark Knight (3),angry,2008-07-18,Action,7.1,Amazon Prime Video,https://www.amazon.com/dp/77095054
Coco (74),surprise,2017-11-22,Animation,6.9,Disney+,https://www.disneyplus.com/movies/60651333
Interstellar (55),neutral,2014-11-07,Sci-Fi,7.3,Hulu,https://www.hulu.com/movie/72313938
Inside Out (28),surprise,2015-06-19,Animation,7.5,HBO Max,https://www.hbomax.com/feature/64941242
Forrest Gump (13),sad,1994-07-06,Drama,6.7,YouTube Movies,https://www.youtube.com/results?search_query=38417456
The Shawshank Redemption (74),sad,1994-09-23,Drama,5.1,HBO Max,https://www.hbomax.com/feature/-8921584
Coco (1),surprise,2017-11-22,Animation,7.7,Apple TV+,https://tv.apple.com/movie/19590262
The Godfather (99),disgust,1972-03-24,Crime,5.7,Apple TV+,https://tv.apple.com/movie/-4802674
Saving Private Ryan (60),disgust,1998-07-24,War,7.2,Peacock,https://www.peacocktv.com/watch/-3184618
Pulp Fiction (12),disgust,1994-10-14,Crime,6.0,Disney+,https://www.disneyplus.com/movies/79224629
Inside Out (95),surprise,2015-06-19,Animation,6.9,Amazon Prime Video,https://www.amazon.com/dp/-1473242
The Grand Budapest Hotel (44),happy,2014-03-28,Comedy,7.4,HBO Max,https://www.hbomax.com/feature/61624984
Pulp Fiction (96),disgust,1994-10-14,Crime,7.8,Netflix,https://www.netflix.com/title/-3397731
Interstellar (61),neutral,2014-11-07,Sci-Fi,7.5,Hulu,https://www.hulu.com/movie/-7924754
Schindler's List (28),sad,1993-12-15,Historical,5.6,Disney+,https://www.disneyplus.com/movies/57658356
Saving Private Ryan (21),disgust,1998-07-24,War,8.5,HBO Max,https://www.hbomax.com/feature/-9027734
Joker (89),fear,2019-10-04,Psychological,8.6,Hulu,https://www.hulu.com/movie/-4144159
Interstellar (4),neutral,2014-11-07,Sci-Fi,8.7,Amazon Prime Video,https://www.amazon.com/dp/81800902
Inside Out (98),surprise,2015-06-19,Animation,7.4,Peacock,https://www.peacocktv.com/watch/-3507893
Inside Out (32),surprise,2015-06-19,Animation,6.4,YouTube Movies,https://www.youtube.com/results?search_query=59539552
Coco (67),surprise,2017-11-22,Animation,5.9,Netflix,https://www.netflix.com/title/-2625338
The Silence of the Lambs (16),fear,1991-02-14,Thriller,5.7,Apple TV+,https://tv.apple.com/movie/-6353381
Saving Private Ryan (43),disgust,1998-07-24,War,9.4,Disney+,https://www.disneyplus.com/movies/-8319433
Schindler's List (85),sad,1993-12-15,Historical,9.2,Apple TV+,https://tv.apple.com/movie/-5002570
Pulp Fiction (46),disgust,1994-10-14,Crime,9.2,Disney+,https://www.disneyplus.com/movies/84201206
Inside Out (71),surprise,2015-06-19,Animation,7.9,Netflix,https://www.netflix.com/title/-1107855
Forrest Gump (51),sad,1994-07-06,Drama,9.5,YouTube Movies,https://www.youtube.com/results?search_query=43391563
Pulp Fiction (73),disgust,1994-10-14,Crime,8.1,Netflix,https://www.netflix.com/title/83500248
Pulp Fiction (34),disgust,1994-10-14,Crime,5.5,Netflix,https://www.netflix.com/title/16510114
Coco (49),surprise,2017-11-22,Animation,8.0,Peacock,https://www.peacocktv.com/watch/-5765344
Joker (37),fear,2019-10-04,Psychological,7.7,Amazon Prime Video,https://www.amazon.com/dp/86213013
Pulp Fiction (85),disgust,1994-10-14,Crime,6.0,Netflix,https://www.netflix.com/title/51534715
Saving Private Ryan (19),disgust,1998-07-24,War,6.9,YouTube Movies,https://www.youtube.com/results?search_query=-7593415
The Grand Budapest Hotel (98),happy,2014-03-28,Comedy,8.3,Apple TV+,https://tv.apple.com/movie/-3696308
The Grand Budapest Hotel (25),happy,2014-03-28,Comedy,5.6,YouTube Movies,https://www.youtube.com/results?search_query=83054921
The Godfather (3),disgust,1972-03-24,Crime,8.3,Hulu,https://www.hulu.com/movie/-6484780
Titanic (95),happy,1997-12-19,Romance,6.3,Netflix,https://www.netflix.com/title/-6925104
The Grand Budapest Hotel (34),happy,2014-03-28,Comedy,5.6,Peacock,https://www.peacocktv.com/watch/58183635
The Godfather (96),disgust,1972-03-24,Crime,8.1,Amazon Prime Video,https://www.amazon.com/dp/-6031340
Forrest Gump (96),sad,1994-07-06,Drama,8.5,Disney+,https://www.disneyplus.com/movies/-2745137
The Dark Knight (23),angry,2008-07-18,Action,9.1,Disney+,https://www.disneyplus.com/movies/-6407994
Parasite (7),fear,2019-05-30,Thriller,8.4,Hulu,https://www.hulu.com/movie/45249639
